Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date
Mobile App,7.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 08:03:00
Mobile App,2.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 10:15:00
Mobile App,5.0,2240.0,General Trade,Home Care,delivered,Household Clean,2020-12-31 10:55:00
Mobile App,2.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 10:55:00
Whatsapp,2.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 10:57:00
Whatsapp,2.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-31 10:57:00
Whatsapp,1.0,2240.0,General Trade,Home Care,delivered,Household Clean,2020-12-31 10:57:00
Whatsapp,2.0,2300.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 10:57:00
Whatsapp,2.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 10:57:00
Whatsapp,1.0,3640.0,General Trade,Home Care,delivered,Household Clean,2020-12-31 12:01:00
Whatsapp,1.0,3550.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 14:38:00
Whatsapp,1.0,2150.0,General Trade,Home Care,delivered,Household Clean,2020-12-31 14:38:00
Whatsapp,1.0,4350.0,General Trade,Home Care,delivered,Fabric Clean,2020-12-31 16:51:00
Mobile App,20.0,2150.0,Wholesale,Home Care,delivered,Household Clean,2020-12-31 20:15:00
Whatsapp,6.0,2100.0,General Trade,Home Care,delivered,Fabric Clean,2021-01-04 08:49:00
Whatsapp,4.0,2250.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 08:49:00
Mobile App,30.0,2200.0,General Trade,Home Care,delivered,Fabric Clean,2021-01-04 13:38:00
Mobile App,30.0,2150.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 13:38:00
Whatsapp,35.0,2150.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 15:02:00
Whatsapp,5.0,2250.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 18:38:00
Whatsapp,5.0,2150.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 18:38:00
Whatsapp,5.0,3280.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 18:38:00
Whatsapp,5.0,2240.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 18:38:00
Whatsapp,5.0,2450.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 18:38:00
Whatsapp,5.0,2200.0,General Trade,Home Care,delivered,Household Clean,2021-01-04 18:38:00
Whatsapp,1.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2150.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2350.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,3.0,2240.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2300.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,1.0,2200.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,1.0,2200.0,Wholesale,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2400.0,Wholesale,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,2.0,2250.0,Modern Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Mobile App,1.0,2400.0,Modern Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,5.0,2300.0,Modern Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,5100.0,Modern Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,3200.0,Modern Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,5700.0,Modern Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,1.0,2200.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2450.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,10.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,5.0,2450.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,2.0,3280.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,2.0,2240.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,5.0,2200.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,5.0,2300.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,2.0,3500.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,5.0,3550.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,10.0,1920.0,General Trade,Home Care,cancelled,Kitchen Supplies,0.03529411764705882
Mobile App,15.0,2100.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,2190.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,2120.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
